trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.3, 'e': 0.17999999999999927}",30,16,-17.61061649842916,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
165,False,"{'a': 0.3, 'e': 0.17499999999999927}",20,3,-36.851890968258274,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
166,False,"{'a': 0.3, 'e': 0.16999999999999926}",30,9,11.25134942788312,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.3, 'e': 0.16499999999999926}",25,16,18.75725813868365,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.3, 'e': 0.15999999999999925}",20,11,13.385522565123248,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.3, 'e': 0.15499999999999925}",20,4,27.564696458438174,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.3, 'e': 0.14999999999999925}",20,13,15.594176549045862,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.14499999999999924}",35,22,-3.8188442766668205,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
172,False,"{'a': 0.3, 'e': 0.13999999999999924}",20,13,11.450314078513085,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.13499999999999923}",20,11,16.718297897719506,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.12999999999999923}",25,8,28.120876022983122,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.3, 'e': 0.12499999999999922}",20,16,7.2855927827889975,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.11999999999999922}",25,12,24.945759982773307,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.3, 'e': 0.11499999999999921}",20,12,5.9459172846974395,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
